
#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	op09
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
28.5	0.1578125	0.0172587785114	0.00377491226132	2	1510218898.430018
28.5	0.1578125	0.0174762151877	0.00377755550436	2	1510218899.4257321
29.0	0.1578125	0.0154828181273	0.00368669339755	2	1510218900.4225805
29.5	0.1546875	0.0164210684274	0.00450224387575	2	1510218901.43914
29.5	0.15625	0.015693327279	0.000683903769714	2	1510218902.4373922
30.0	0.1546875	0.0157007118205	0.00344215405164	2	1510218903.4341366
30.0	0.15625	0.0133744756891	0.00490727294922	2	1510218904.4300802
30.5	0.15625	0.0152923300805	0.00394734814358	2	1510218905.4369476
30.5	0.275	0.0118937874251	0.00510041358617	2	1510218906.5787582
31.0	0.15625	0.00624992467287	0.00144382607029	2	1510218907.5082603
31.5	0.15625	0.0107531521739	0.00244369713524	2	1510218908.425967
31.5	0.15625	0.0113790914948	0.00178086535913	2	1510218909.4829545
32.0	0.15625	0.0062999048913	0.00977070387188	2	1510218910.4371755
32.0	0.1546875	0.0138881005665	0.00397924977596	2	1510218911.4378839
32.5	0.159375	0.0116516994201	0.0028730277419	2	1510218912.4333358
32.5	0.1546875	0.014033961555	0.00394345228397	2	1510218913.4346006
33.0	0.1546875	0.0109680354832	0.00490585051614	2	1510218914.4360354
33.5	0.1546875	0.0123996713371	0.00331043914962	2	1510218915.434439
33.5	0.1546875	0.0131695129259	0.00327730039757	2	1510218916.430256
34.0	0.1546875	0.0124962197581	0.00339564653136	2	1510218917.425971
34.0	0.1609375	0.0149764074633	0.00385071499504	2	1510218918.4287047
34.5	0.15625	0.01238418453	0.00312600183323	2	1510218919.439753
34.5	0.159375	0.013444117805	0.00325662155572	2	1510218920.4345298
35.0	0.15625	0.0127914986559	0.00373493533773	2	1510218921.4303963
35.5	0.159375	0.0128284874356	0.0032924556338	2	1510218922.436949
35.5	0.1609375	0.0115013545482	0.0036406792202	2	1510218923.4377775
36.0	0.15625	0.00915626342354	0.00390979585849	2	1510218924.433633
36.0	0.15625	0.0124615471188	0.003431891403	2	1510218925.430617
36.5	0.15625	0.00821277406591	0.00456162360939	2	1510218926.426206
36.5	0.15625	0.0111355792317	0.0036285533168	2	1510218927.422584
37.0	0.1578125	0.0110076530612	0.00298469728436	2	1510218928.438437
37.5	0.1546875	0.0111768478261	0.00318725645637	2	1510218929.4343271
37.5	0.1578125	0.00889406922043	0.00422334387423	2	1510218930.4301286
38.0	0.15625	0.0116550955756	0.00325845518849	2	1510218931.4400215
38.5	0.15625	0.0119437434164	0.0016111542537	2	1510218932.436742
